calendar_month,commits,commits_with_allowed_hunks,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,repo,threshold_label,commit_ai_fraction
2021-05,20,9,9,0.44683908045977,0.3892061441645073,elasticsearch,medium,0.45
2021-06,20,6,6,0.2974423203858205,0.2628004110341977,elasticsearch,medium,0.3
2021-07,20,6,5,0.2396825396825396,0.2451981495943029,elasticsearch,medium,0.25
2021-08,20,8,7,0.3244005994005994,0.3217229324145851,elasticsearch,medium,0.35
2021-09,20,12,12,0.4702112923140987,0.5066670089086418,elasticsearch,medium,0.6
2021-10,20,8,8,0.394829252735995,0.3516951837922268,elasticsearch,medium,0.4
2021-11,20,10,10,0.4720683133066311,0.4351600992252799,elasticsearch,medium,0.5
2021-12,20,9,9,0.4290053050397878,0.370385907021875,elasticsearch,medium,0.45
2022-01,20,10,10,0.4915966386554622,0.4227757081239042,elasticsearch,medium,0.5
2022-02,20,8,8,0.3494086523498289,0.3520711678093526,elasticsearch,medium,0.4
2022-03,20,10,10,0.4873877971858321,0.4516931633763441,elasticsearch,medium,0.5
2022-04,20,6,6,0.2701236263736263,0.2757611845004798,elasticsearch,medium,0.3
2022-05,20,11,10,0.4528624010456484,0.4288809495911481,elasticsearch,medium,0.5
2022-06,20,9,9,0.396980976013234,0.3564978473606166,elasticsearch,medium,0.45
2022-07,20,12,12,0.5897678168646319,0.5583024677445805,elasticsearch,medium,0.6
2022-08,20,6,6,0.3,0.272876440147218,elasticsearch,medium,0.3
2022-09,20,11,9,0.4328008967353229,0.4452315005938191,elasticsearch,medium,0.45
2022-10,20,12,12,0.5954124897272488,0.5233806453943529,elasticsearch,medium,0.6
2022-11,20,13,12,0.5971731448763251,0.5682063326416786,elasticsearch,medium,0.6
2022-12,20,13,13,0.6280495897683398,0.5567213461358442,elasticsearch,medium,0.65
2023-01,20,11,11,0.5117987322620661,0.462005174539887,elasticsearch,medium,0.55
2023-02,20,15,15,0.660464547549225,0.6362266674787499,elasticsearch,medium,0.75
2023-03,20,6,6,0.297191011235955,0.2681768420066731,elasticsearch,medium,0.3
2023-04,20,9,8,0.3759603072983354,0.3637303134228794,elasticsearch,medium,0.4
2023-05,20,12,12,0.5811602564102565,0.5014367254889616,elasticsearch,medium,0.6
2023-06,20,10,10,0.4595471526309553,0.3919033150035974,elasticsearch,medium,0.5
2023-07,20,8,8,0.324236304826817,0.3636951311115318,elasticsearch,medium,0.4
2023-08,20,8,8,0.3785610628694632,0.3417633285386515,elasticsearch,medium,0.4
2023-09,20,12,12,0.5695366059379217,0.5084354810862391,elasticsearch,medium,0.6
2023-10,20,7,7,0.3488532110091743,0.3097998509119606,elasticsearch,medium,0.35
2023-11,20,10,10,0.4837677419354839,0.4360616230356772,elasticsearch,medium,0.5
2023-12,20,9,9,0.4283109340176943,0.4095520337529578,elasticsearch,medium,0.45
2024-01,20,12,12,0.5944022001825434,0.496782041554441,elasticsearch,medium,0.6
2024-02,20,13,12,0.5626236183827806,0.5215358166835674,elasticsearch,medium,0.6
