calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2019-10,1,1,0.9545454545454546,0.8948315264867417,low,1.0
2020-01,1,0,0.0,0.25055558675022743,low,0.0
2020-02,1,1,1.0,0.9452395393388531,low,1.0
2020-03,1,0,0.0,0.0,low,0.0
2020-04,4,3,0.6990445859872612,0.4399404730718755,low,0.75
2020-05,1,1,0.8125,0.8943218518424867,low,1.0
2020-06,3,3,0.7418674698795181,0.7207970402299607,low,1.0
2020-07,1,0,0.0,0.0,low,0.0
2020-08,3,2,0.6452991452991453,0.5920368811695869,low,0.6666666666666666
2020-09,1,0,0.0,0.0,low,0.0
2020-10,3,3,1.0,0.7268562074410516,low,1.0
2020-11,10,7,0.6725888324873097,0.6073657278620214,low,0.7
2020-12,18,14,0.6908589096089096,0.5569725364050843,low,0.7777777777777778
2021-01,180,59,0.3168467872182475,0.26039441709770417,low,0.3277777777777778
2021-02,180,77,0.4165385136815757,0.3565220944589809,low,0.42777777777777776
2021-03,180,58,0.30375538671898583,0.2483517646314283,low,0.32222222222222224
2021-04,180,81,0.43756502056093477,0.3618667821555699,low,0.45
2021-05,180,76,0.412111084238535,0.33340569959185873,low,0.4222222222222222
2021-06,180,73,0.3915552079960114,0.3319168583915631,low,0.40555555555555556
2021-07,180,72,0.38349732231650646,0.33177202275330964,low,0.4
2021-08,180,81,0.4296544927797277,0.36719821311239076,low,0.45
2021-09,180,84,0.44377537589511856,0.37354247724149026,low,0.4666666666666667
2021-10,180,76,0.4022728569978633,0.3397650473415362,low,0.4222222222222222
2021-11,180,70,0.3774041974576627,0.31014141994736055,low,0.3888888888888889
2021-12,180,73,0.37786650068563093,0.32531558582550546,low,0.40555555555555556
2022-01,180,83,0.4363688325459502,0.35849331337142515,low,0.46111111111111114
2022-02,180,80,0.4188231364238416,0.36105249356294106,low,0.4444444444444444
2022-03,180,77,0.414717177487218,0.36400801773355507,low,0.42777777777777776
2022-04,180,72,0.3754687957751531,0.3219593057457869,low,0.4
2022-05,180,86,0.46361007808722965,0.39765698391617044,low,0.4777777777777778
2022-06,180,82,0.44001984705923597,0.3559916221213391,low,0.45555555555555555
2022-07,179,88,0.47919410014441727,0.41093773568172254,low,0.49162011173184356
2022-08,180,71,0.3842284333697289,0.31605542157032157,low,0.39444444444444443
2022-09,180,83,0.4444383114406849,0.3751422786872345,low,0.46111111111111114
2022-10,180,74,0.39425031492012186,0.3434943812319952,low,0.4111111111111111
2022-11,180,86,0.46711995378918153,0.40254749155288866,low,0.4777777777777778
2022-12,180,82,0.43742390722767793,0.38496041991120467,low,0.45555555555555555
2023-01,180,81,0.4240398252552444,0.38622451143411846,low,0.45
2023-02,180,87,0.45504566113386974,0.39696600486470146,low,0.48333333333333334
2023-03,180,85,0.45295475820845477,0.39765254641686676,low,0.4722222222222222
2023-04,180,81,0.4368386967360138,0.3709291141715486,low,0.45
2023-05,180,83,0.44503757219746826,0.38293093389930744,low,0.46111111111111114
2023-06,180,86,0.46264385601838176,0.38330034503009924,low,0.4777777777777778
2023-07,180,101,0.5420397482458997,0.4756109417024129,low,0.5611111111111111
2023-08,176,87,0.473174878692384,0.40398507973435527,low,0.4943181818181818
2023-09,180,80,0.42986828724214077,0.3630815602836504,low,0.4444444444444444
2023-10,180,68,0.3679710664313584,0.31069064571296634,low,0.37777777777777777
2023-11,180,89,0.4852654649190513,0.401533008530459,low,0.49444444444444446
2023-12,180,76,0.40534206523878835,0.34707680721165113,low,0.4222222222222222
2024-01,180,85,0.46097261481188123,0.4003121680701262,low,0.4722222222222222
2024-02,180,78,0.41672210089956574,0.35792454661943207,low,0.43333333333333335
2024-03,180,61,0.3298288775312764,0.28057755666953504,low,0.3388888888888889
2024-04,179,77,0.407389642082983,0.34852856113651964,low,0.4301675977653631
2024-05,180,67,0.3569380422734583,0.30431114963230904,low,0.37222222222222223
2024-06,180,72,0.3739677082771789,0.3285252795811713,low,0.4
2024-07,180,75,0.4059590395743553,0.34891778750842206,low,0.4166666666666667
2024-08,180,84,0.4492714728637557,0.3808554821508711,low,0.4666666666666667
2024-09,180,83,0.4449656424827818,0.38774448319945953,low,0.46111111111111114
2024-10,180,65,0.35299297098251553,0.31235482641681744,low,0.3611111111111111
2024-11,180,73,0.38896893128893373,0.3368773765008796,low,0.40555555555555556
2024-12,180,71,0.38391635290394444,0.33155619630349775,low,0.39444444444444443
2025-01,180,87,0.47010780702079424,0.3942042681104348,low,0.48333333333333334
2025-02,180,75,0.40741427441880523,0.327720154066663,low,0.4166666666666667
2025-03,180,71,0.3690564523164686,0.32294823482036045,low,0.39444444444444443
2025-04,180,76,0.41414371373128395,0.3492255239638666,low,0.4222222222222222
2025-05,180,79,0.4271728174424234,0.35720338194361756,low,0.4388888888888889
2025-06,180,86,0.4512496646205183,0.39567613338478574,low,0.4777777777777778
2025-07,180,86,0.46023979310176955,0.3854679754257258,low,0.4777777777777778
2025-08,180,68,0.3653149856417418,0.31372304643550597,low,0.37777777777777777
2025-09,180,75,0.4006457226244391,0.34844857016847003,low,0.4166666666666667
2025-10,180,73,0.3872766309460514,0.32253176043585424,low,0.40555555555555556
2025-11,180,72,0.38118703533699017,0.32857902512246,low,0.4
2025-12,179,83,0.44448926808072864,0.3724867006177212,low,0.46368715083798884
2016-07,1,0,0.0,0.0,medium,0.0
2016-09,2,2,0.7760416666666667,0.8072386263261682,medium,1.0
2016-10,1,1,1.0,0.8936072868730573,medium,1.0
2017-04,1,1,0.6494845360824743,0.9343844908143831,medium,1.0
